level_0,level_1,correlacao
CO_ALUNO_CURSO,CO_IES_DESTINO,0.37889614498311247
IN_RESERVA_ETNICO,TP_MOBILIDADE_ACADEMICA,0.35714285714285726
TP_MOBILIDADE_ACADEMICA,IN_RESERVA_ETNICO,0.35714285714285726
TP_MOBILIDADE_ACADEMICA,NU_MES_NASCIMENTO,0.35624526120832556
NU_MES_NASCIMENTO,TP_MOBILIDADE_ACADEMICA,0.35624526120832556
IN_APOIO_MORADIA,IN_DEFICIENCIA_FISICA,0.3535533905932738
IN_DEFICIENCIA_FISICA,IN_APOIO_MORADIA,0.3535533905932738
IN_APOIO_ALIMENTACAO,IN_DEFICIENCIA_CEGUEIRA,0.35355339059327373
IN_DEFICIENCIA_CEGUEIRA,IN_APOIO_ALIMENTACAO,0.35355339059327373
TP_SITUACAO,QT_CARGA_HORARIA_INTEG,0.34513003664480146
QT_CARGA_HORARIA_INTEG,TP_SITUACAO,0.34513003664480146
TP_ESCOLA_CONCLUSAO_ENS_MEDIO,IN_DEFICIENCIA_INTELECTUAL,0.33687808196031876
IN_DEFICIENCIA_INTELECTUAL,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,0.33687808196031876
CO_PAIS_DESTINO,QT_CARGA_HORARIA_INTEG,0.3346362369814259
QT_CARGA_HORARIA_INTEG,CO_PAIS_DESTINO,0.3346362369814259
TP_MOBILIDADE_ACADEMICA,IN_APOIO_MORADIA,0.33333333333333326
IN_APOIO_TRANSPORTE,TP_MOBILIDADE_ACADEMICA,0.33333333333333326
IN_APOIO_MORADIA,TP_MOBILIDADE_ACADEMICA,0.33333333333333326
TP_MOBILIDADE_ACADEMICA,IN_APOIO_TRANSPORTE,0.33333333333333326
TP_MOBILIDADE_ACADEMICA,IN_INGRESSO_ENEM,0.32732683535398854
IN_INGRESSO_ENEM,TP_MOBILIDADE_ACADEMICA,0.32732683535398854
CO_PAIS_DESTINO,CO_ALUNO_CURSO,0.3182065955821103
CO_ALUNO_CURSO,CO_PAIS_DESTINO,0.3182065955821103
IN_COMPLEMENTAR_EXTENSAO,IN_DEFICIENCIA_AUDITIVA,0.31622776601683794
IN_DEFICIENCIA_FISICA,IN_COMPLEMENTAR_MONITORIA,0.31622776601683794
IN_DEFICIENCIA_AUDITIVA,IN_COMPLEMENTAR_EXTENSAO,0.31622776601683794
IN_COMPLEMENTAR_MONITORIA,IN_DEFICIENCIA_FISICA,0.31622776601683794
NU_ANO_NASCIMENTO,TP_MOBILIDADE_ACADEMICA,0.30897946190452197
TP_MOBILIDADE_ACADEMICA,NU_ANO_NASCIMENTO,0.30897946190452197
TP_GRAU_ACADEMICO,IN_DEFICIENCIA_SURDEZ,0.30851602658597743
IN_DEFICIENCIA_SURDEZ,TP_GRAU_ACADEMICO,0.30851602658597743
NU_ANO_NASCIMENTO,NU_ANO_INGRESSO,0.3007470498573733
NU_ANO_INGRESSO,NU_ANO_NASCIMENTO,0.3007470498573733
TP_TURNO,CO_IES_DESTINO,0.2995663433038338
CO_IES_DESTINO,TP_TURNO,0.2995663433038338
